API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug 15 12:00:27 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 UT      
Step-size       : 59040 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260814.p261110                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-14. PREDICTS-> 2026-NOV-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN           TDB-UT     ObsEcLon    ObsEcLat
************************************************************
$$SOE
 1925-Jun-26 00:00        23.919394  145.3483169   1.8346924
 1925-Aug-06 00:00        23.945337  334.1062991  -2.6063425
 1925-Sep-16 00:00        23.970488  148.0193137   2.1117587
 1925-Oct-27 00:00        23.994856  332.2132154  -2.6891549
 1925-Dec-07 00:00        24.018449  147.9161018   2.7296635
 1926-Jan-17 00:00        24.041276  334.4739028  -3.3382717
 1926-Feb-27 00:00        24.063345  150.0064963   2.9672158
 1926-Apr-09 00:00        24.084665  329.9647649  -3.1404290
 1926-May-20 00:00        24.105246  151.0350245   3.5396854
 1926-Jun-30 00:00        24.125094  333.5060414  -3.8745799
 1926-Aug-10 00:00        24.144220  152.1460454   3.7443897
 1926-Sep-20 00:00        24.162631  329.9325289  -3.6462076
 1926-Oct-31 00:00        24.180337  154.5773021   4.1607705
 1926-Dec-11 00:00        24.197345  331.3372877  -4.2630713
 1927-Jan-21 00:00        24.213665  154.4387505   4.4104591
 1927-Mar-03 00:00        24.229305  329.9429583  -4.1393158
 1927-Apr-13 00:00        24.244274  156.8034052   4.6057019
 1927-May-24 00:00        24.258580  328.8248094  -4.5645090
 1927-Jul-04 00:00        24.272233  157.4669277   4.9347308
 1927-Aug-14 00:00        24.285239  331.1747706  -4.6006570
 1927-Sep-24 00:00        24.297610  158.6356414   4.8462495
 1927-Nov-04 00:00        24.309352  327.7232290  -4.8208740
 1927-Dec-15 00:00        24.320474  160.7445987   5.2416656
 1928-Jan-25 00:00        24.330986  330.9218591  -4.9092049
 1928-Mar-06 00:00        24.340896  159.6384661   4.9798554
 1928-Apr-16 00:00        24.350212  328.0926812  -5.0360668
 1928-May-27 00:00        24.358943  162.6768662   5.2846192
 1928-Jul-07 00:00        24.367097  330.3423051  -5.1269407
 1928-Aug-17 00:00        24.374684  161.6406066   4.9965755
 1928-Sep-27 00:00        24.381712  330.5550954  -5.0826114
 1928-Nov-07 00:00        24.388190  163.6478787   5.1348121
 1928-Dec-18 00:00        24.394125  330.0964632  -5.2367350
 1929-Jan-28 00:00        24.399528  163.5258642   4.8525800
 1929-Mar-10 00:00        24.404405  332.3156199  -4.9874050
 1929-Apr-20 00:00        24.408767  162.8355467   4.8801601
 1929-May-31 00:00        24.412622  331.2306604  -5.1800359
 1929-Jul-11 00:00        24.415977  165.2673715   4.5848700
 1929-Aug-21 00:00        24.418843  334.2730937  -4.7396433
 1929-Oct-01 00:00        24.421227  162.4705822   4.4932214
